participant_id,age,gender_participant,country,province,education,headphone_brand,stimuli,score,stimuli_group,stimuli_service,gender_stimuli,dialect,mos_pred,model
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00913913795.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.201411724090576,NISQA_TTS_v1
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00546762557.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.755947113037109,NISQA_TTS_v1
9fig36z1cml41m265ckifw,25,M,AR,Buenos Aires,4,Sony,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00621699750.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.338622093200684,NISQA_TTS_v1
vj735xlt2yj805wyn5rimq,59,F,AR,Buenos Aires,2,,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00912390302.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG,4.223487377166748,NISQA_TTS_v1
vj735xlt2yj805wyn5rimq,59,F,AR,Buenos Aires,2,,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01772510223.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG,3.4043209552764893,NISQA_TTS_v1
yteg94bzq131bqsl7uyqo,20,M,AR,Buenos Aires,3,sennheiser,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00670555472.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.6314377784729,NISQA_TTS_v1
fn5aaw2w41wmd3pb8i0fus,27,M,AR,Ciudad Autónoma de Buenos Aires,3,,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00682913941.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.424813270568848,NISQA_TTS_v1
t6ybrbbo92bx87dy9vpy,26,M,AR,Ciudad Autónoma de Buenos Aires,3,Sennheiser HD 206,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01095857715.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.570674419403076,NISQA_TTS_v1
bkaa9b0qt4ogrmp1inpjol,42,F,AR,Buenos Aires,4,genius b�sico,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00333943217.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.815207004547119,NISQA_TTS_v1
bkaa9b0qt4ogrmp1inpjol,42,F,AR,Buenos Aires,4,genius b�sico,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01805030745.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.7478251457214355,NISQA_TTS_v1
36w18huenqzembkxhb4b67,28,M,AR,Ciudad Autónoma de Buenos Aires,2,,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01838963639.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.129018306732178,NISQA_TTS_v1
i035g56vlm5ayg6ke1amp,25,F,AR,Buenos Aires,3,Samsung,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01852058096.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.754742622375488,NISQA_TTS_v1
i035g56vlm5ayg6ke1amp,25,F,AR,Buenos Aires,3,Samsung,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00607531266.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.750790119171143,NISQA_TTS_v1
4kkajwqbxbr4zfc0eys6a3,53,M,AR,Ciudad Autónoma de Buenos Aires,4,Sony WH-1000XM5,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01983307905.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG,3.425490379333496,NISQA_TTS_v1
ztwx6tnel7ogegc0h9hjqr,27,F,AR,Buenos Aires,2,Philips ,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00267144431.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG,4.647430419921875,NISQA_TTS_v1
ztwx6tnel7ogegc0h9hjqr,27,F,AR,Buenos Aires,2,Philips ,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01519113277.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG,3.0304884910583496,NISQA_TTS_v1
wqc6g1y755ulfhnkoksei,33,M,AR,Buenos Aires,3,Shure 48,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_02031088808.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG,4.480491638183594,NISQA_TTS_v1
c6o6iafmvykjd72hc517n,26,F,AR,Ciudad Autónoma de Buenos Aires,4,Sony WH-1000XM4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00627937971.wav,3.0,E2,open_srl_es_ar_female_2,F,ARG,4.56888484954834,NISQA_TTS_v1
